,average,coordinate_x,coordinate_y,decoration_condition,deed,elevator,facility0,facility1,facility2,facility3,facility4,facility5,level,total,framework,house_term,ownership,price,purpose,apt,lift,district,rights,scale,structure,bath,kitchen,room,saloon
1850,1.45461033,-0.077882606,0.273787331,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-1.3480447619999998,2.273894888,0.839932531,1.6850580819999998,1.156610388,8600000,0.040252748,2.223579622,1.717146314,0.066797197,0.285922755,0.325234032,-0.660088119,-0.465698785,-0.04022008,-0.156303664,0.924514114
1851,0.807407309,-0.156352818,0.23778501300000002,-0.7757347859999999,1.4832291919999998,-0.8369008059999999,1.615759288,-0.297777339,-0.476088258,-0.16829996,2.3417499619999997,1.9119909030000002,-0.12370756,-0.483211641,0.839932531,1.6850580819999998,-0.8645953820000001,4100000,0.040252748,1.005615746,-0.442748893,0.066797197,0.285922755,-0.707613939,-0.660088119,-0.465698785,-0.04022008,1.045607526,-2.282602443
1852,0.817137883,-0.137430061,0.185095265,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-1.3480447619999998,3.586802759,0.839932531,1.6850580819999998,-0.8645953820000001,3700000,0.040252748,2.223579622,3.877041522,0.066797197,0.285922755,-0.84145722,-0.660088119,-0.465698785,-0.04022008,-1.358214855,-2.282602443
1853,2.013519175,-0.137840105,0.217055341,-0.7757347859999999,1.4832291919999998,1.194884738,-0.61890407,3.358213906,-0.476088258,-0.16829996,-0.427031073,1.9119909030000002,-1.3480447619999998,2.536476462,0.839932531,0.900502537,-0.8645953820000001,5300000,0.040252748,1.8175916630000002,3.877041522,0.066797197,0.285922755,-0.757025616,-0.660088119,-0.465698785,-0.04022008,-1.358214855,-0.679044164
1854,2.456476005,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,1.354859379,0.839932531,1.6850580819999998,-0.8645953820000001,14200000,0.040252748,0.193639828,1.717146314,0.066797197,0.285922755,1.110783754,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1855,3.976171204,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,1.100629641,-0.22063006699999999,0.839932531,1.6850580819999998,-0.8645953820000001,9500000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,-0.41330263899999997,-0.660088119,-0.465698785,-0.04022008,-1.358214855,0.924514114
1856,2.302752106,-0.0032698429999999997,0.23273221,0.784828297,1.4832291919999998,-0.8369008059999999,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,-0.877084002,-1.190571817,0.900502537,-0.8645953820000001,5800000,-17.36277556,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,-0.716728715,-0.660088119,-0.465698785,-0.04022008,-0.156303664,-0.679044164
1857,1.165569135,-0.139267664,0.190262305,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,2.1004508769999997,-0.16829996,-0.427031073,1.9119909030000002,-0.12370756,2.7990580360000004,0.839932531,1.6850580819999998,-0.8645953820000001,11400000,0.040252748,1.005615746,3.877041522,0.066797197,0.285922755,1.330977539,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1858,0.810043671,-0.104641753,0.27920042,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-1.3480447619999998,2.011313314,0.839932531,1.6850580819999998,-0.8645953820000001,11700000,0.040252748,1.005615746,1.717146314,0.066797197,0.285922755,1.769206346,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1859,0.246820779,-0.144438771,0.202933855,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,1.100629641,2.273894888,0.839932531,0.900502537,1.156610388,13500000,0.040252748,0.5996277870000001,1.717146314,0.066797197,0.285922755,3.192550485,1.429758429,1.530768854,-0.04022008,2.247518716,0.924514114
1860,2.399147105,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,1.100629641,1.354859379,0.839932531,1.6850580819999998,-0.8645953820000001,8000000,0.040252748,1.005615746,1.717146314,0.066797197,0.285922755,-0.24731778100000001,-0.660088119,-0.465698785,-0.04022008,-1.358214855,-0.679044164
